[sbatch-master] running on nid006646
[sbatch-master] SLURM_NODELIST: nid[006646,006673]
[sbatch-master] SLURM_NNODES: 2
[sbatch-master] SLURM_NODEID: 0
[Master] Master node: nid006646
[Master] World size: 8
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid006646 noderank=0 localrank=0
W0518 20:45:43.658000 154257 torch/distributed/run.py:792] 
W0518 20:45:43.658000 154257 torch/distributed/run.py:792] *****************************************
W0518 20:45:43.658000 154257 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0518 20:45:43.658000 154257 torch/distributed/run.py:792] *****************************************
[srun] rank=1 host=nid006673 noderank=1 localrank=0
W0518 20:45:47.853000 65829 torch/distributed/run.py:792] 
W0518 20:45:47.853000 65829 torch/distributed/run.py:792] *****************************************
W0518 20:45:47.853000 65829 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0518 20:45:47.853000 65829 torch/distributed/run.py:792] *****************************************
2025-05-18 20:46:01,661 - root - INFO - [Distributed Init] Rank 0 initialized on node 0 on GPU 0.
2025-05-18 20:46:01,701 - root - INFO - [Distributed Init] Rank 4 initialized on node 1 on GPU 0.
[rank0]:[W518 20:46:02.224088158 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank4]:[W518 20:46:02.594146502 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 4]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 20:46:02,174 - root - INFO - [Distributed Init] Rank 1 initialized on node 0 on GPU 1.
2025-05-18 20:46:02,174 - root - INFO - [Distributed Init] Rank 3 initialized on node 0 on GPU 3.
[rank1]:[W518 20:46:02.307459351 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank3]:[W518 20:46:02.307472759 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 20:46:02,228 - root - INFO - [Distributed Init] Rank 2 initialized on node 0 on GPU 2.
[rank2]:[W518 20:46:02.362237471 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 20:46:02,309 - root - INFO - [Distributed Init] Rank 7 initialized on node 1 on GPU 3.
2025-05-18 20:46:02,309 - root - INFO - [Distributed Init] Rank 6 initialized on node 1 on GPU 2.
2025-05-18 20:46:02,309 - root - INFO - [Distributed Init] Rank 5 initialized on node 1 on GPU 1.
[rank5]:[W518 20:46:02.734314754 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 5]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank7]:[W518 20:46:02.734314818 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 7]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank6]:[W518 20:46:02.734907951 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 6]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 20:46:07,193 - root - INFO - [Rank 0] All ranks ready!
2025-05-18 20:46:07,193 - root - INFO - Distributed training enabled: 8 processes
2025-05-18 20:46:07,193 - root - INFO - Master process: 0 on cuda:0
2025-05-18 20:46:07,193 - root - INFO - Experiment args: Namespace(dataset='/capstor/scratch/cscs/kasparr/project/train_data.parquet', dataset_type='padded', pretokenized=False, tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=10, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, distributed=True, backend='nccl', find_unused_parameters=False)
2025-05-18 20:46:07,193 - root - INFO - Setting up Tokenizer...
2025-05-18 20:46:12,674 - root - INFO - Setting up DataLoaders...
2025-05-18 20:46:12,674 - root - INFO - Using padded ParquetDataset with on-the-fly tokenization
2025-05-18 20:46:17,976 - root - INFO - Setting up Model...
2025-05-18 20:46:54,199 - root - INFO - Model wrapped with DistributedDataParallel
2025-05-18 20:46:54,201 - root - INFO - Global batch size: 8 (local: 1 × 8 processes)
2025-05-18 20:46:54,201 - root - INFO - Starting training!
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
2025-05-18 20:46:55,803 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 1278.84 | Training tokens per second (%): 6.13 | MFU (%): 6.66 | TFLOPs: 65.91 | Global batch size: 8 | Global tokens/sec: 10230.76 | Global MFU (%): 6.66 | Global TFLOPs: 527.31 | 
2025-05-18 20:47:00,444 - root - INFO - Step: 10 | Loss: 11.75 | Tokens per second: 3972.15 | Training tokens per second (%): 4.78 | MFU (%): 20.70 | TFLOPs: 204.73 | Global batch size: 8 | Global tokens/sec: 31777.22 | Global MFU (%): 20.70 | Global TFLOPs: 1637.84 | 
2025-05-18 20:47:05,730 - root - INFO - Step: 20 | Loss: 10.55 | Tokens per second: 3875.04 | Training tokens per second (%): 7.45 | MFU (%): 20.19 | TFLOPs: 199.72 | Global batch size: 8 | Global tokens/sec: 31000.30 | Global MFU (%): 20.19 | Global TFLOPs: 1597.79 | 
2025-05-18 20:47:10,892 - root - INFO - Step: 30 | Loss: 9.68 | Tokens per second: 3968.57 | Training tokens per second (%): 5.80 | MFU (%): 20.68 | TFLOPs: 204.54 | Global batch size: 8 | Global tokens/sec: 31748.54 | Global MFU (%): 20.68 | Global TFLOPs: 1636.36 | 
2025-05-18 20:47:16,061 - root - INFO - Step: 40 | Loss: 9.15 | Tokens per second: 3962.68 | Training tokens per second (%): 4.14 | MFU (%): 20.65 | TFLOPs: 204.24 | Global batch size: 8 | Global tokens/sec: 31701.42 | Global MFU (%): 20.65 | Global TFLOPs: 1633.93 | 
2025-05-18 20:47:21,212 - root - INFO - Step: 50 | Loss: 8.54 | Tokens per second: 3976.37 | Training tokens per second (%): 4.12 | MFU (%): 20.72 | TFLOPs: 204.95 | Global batch size: 8 | Global tokens/sec: 31810.97 | Global MFU (%): 20.72 | Global TFLOPs: 1639.58 | 
2025-05-18 20:47:26,397 - root - INFO - Step: 60 | Loss: 8.14 | Tokens per second: 3950.70 | Training tokens per second (%): 6.00 | MFU (%): 20.59 | TFLOPs: 203.62 | Global batch size: 8 | Global tokens/sec: 31605.61 | Global MFU (%): 20.59 | Global TFLOPs: 1628.99 | 
2025-05-18 20:47:31,577 - root - INFO - Step: 70 | Loss: 7.89 | Tokens per second: 3954.13 | Training tokens per second (%): 2.99 | MFU (%): 20.61 | TFLOPs: 203.80 | Global batch size: 8 | Global tokens/sec: 31633.00 | Global MFU (%): 20.61 | Global TFLOPs: 1630.40 | 
2025-05-18 20:47:36,722 - root - INFO - Step: 80 | Loss: 7.30 | Tokens per second: 3981.30 | Training tokens per second (%): 6.46 | MFU (%): 20.75 | TFLOPs: 205.20 | Global batch size: 8 | Global tokens/sec: 31850.42 | Global MFU (%): 20.75 | Global TFLOPs: 1641.61 | 
2025-05-18 20:47:41,877 - root - INFO - Step: 90 | Loss: 7.29 | Tokens per second: 3973.78 | Training tokens per second (%): 3.93 | MFU (%): 20.71 | TFLOPs: 204.81 | Global batch size: 8 | Global tokens/sec: 31790.22 | Global MFU (%): 20.71 | Global TFLOPs: 1638.51 | 
2025-05-18 20:47:47,065 - root - INFO - Step: 100 | Loss: 7.27 | Tokens per second: 3948.05 | Training tokens per second (%): 5.35 | MFU (%): 20.58 | TFLOPs: 203.49 | Global batch size: 8 | Global tokens/sec: 31584.37 | Global MFU (%): 20.58 | Global TFLOPs: 1627.90 | 
2025-05-18 20:47:52,231 - root - INFO - Step: 110 | Loss: 7.22 | Tokens per second: 3965.05 | Training tokens per second (%): 6.78 | MFU (%): 20.66 | TFLOPs: 204.36 | Global batch size: 8 | Global tokens/sec: 31720.40 | Global MFU (%): 20.66 | Global TFLOPs: 1634.91 | 
2025-05-18 20:47:57,392 - root - INFO - Step: 120 | Loss: 7.04 | Tokens per second: 3968.96 | Training tokens per second (%): 3.38 | MFU (%): 20.68 | TFLOPs: 204.57 | Global batch size: 8 | Global tokens/sec: 31751.69 | Global MFU (%): 20.68 | Global TFLOPs: 1636.52 | 
2025-05-18 20:48:02,552 - root - INFO - Step: 130 | Loss: 6.90 | Tokens per second: 3969.77 | Training tokens per second (%): 2.56 | MFU (%): 20.69 | TFLOPs: 204.61 | Global batch size: 8 | Global tokens/sec: 31758.14 | Global MFU (%): 20.69 | Global TFLOPs: 1636.85 | 
2025-05-18 20:48:07,721 - root - INFO - Step: 140 | Loss: 6.85 | Tokens per second: 3962.41 | Training tokens per second (%): 3.35 | MFU (%): 20.65 | TFLOPs: 204.23 | Global batch size: 8 | Global tokens/sec: 31699.30 | Global MFU (%): 20.65 | Global TFLOPs: 1633.82 | 
2025-05-18 20:48:12,913 - root - INFO - Step: 150 | Loss: 6.64 | Tokens per second: 3944.99 | Training tokens per second (%): 4.52 | MFU (%): 20.56 | TFLOPs: 203.33 | Global batch size: 8 | Global tokens/sec: 31559.93 | Global MFU (%): 20.56 | Global TFLOPs: 1626.64 | 
2025-05-18 20:48:18,100 - root - INFO - Step: 160 | Loss: 6.86 | Tokens per second: 3949.17 | Training tokens per second (%): 4.35 | MFU (%): 20.58 | TFLOPs: 203.55 | Global batch size: 8 | Global tokens/sec: 31593.38 | Global MFU (%): 20.58 | Global TFLOPs: 1628.36 | 
2025-05-18 20:48:23,258 - root - INFO - Step: 170 | Loss: 6.91 | Tokens per second: 3971.34 | Training tokens per second (%): 4.50 | MFU (%): 20.70 | TFLOPs: 204.69 | Global batch size: 8 | Global tokens/sec: 31770.69 | Global MFU (%): 20.70 | Global TFLOPs: 1637.50 | 
2025-05-18 20:48:28,432 - root - INFO - Step: 180 | Loss: 6.74 | Tokens per second: 3958.74 | Training tokens per second (%): 3.78 | MFU (%): 20.63 | TFLOPs: 204.04 | Global batch size: 8 | Global tokens/sec: 31669.91 | Global MFU (%): 20.63 | Global TFLOPs: 1632.31 | 
2025-05-18 20:48:33,597 - root - INFO - Step: 190 | Loss: 6.34 | Tokens per second: 3965.66 | Training tokens per second (%): 3.78 | MFU (%): 20.67 | TFLOPs: 204.39 | Global batch size: 8 | Global tokens/sec: 31725.26 | Global MFU (%): 20.67 | Global TFLOPs: 1635.16 | 
2025-05-18 20:48:38,748 - root - INFO - Step: 200 | Loss: 6.75 | Tokens per second: 3976.79 | Training tokens per second (%): 4.19 | MFU (%): 20.72 | TFLOPs: 204.97 | Global batch size: 8 | Global tokens/sec: 31814.34 | Global MFU (%): 20.72 | Global TFLOPs: 1639.75 | 
2025-05-18 20:48:43,916 - root - INFO - Step: 210 | Loss: 6.55 | Tokens per second: 3963.16 | Training tokens per second (%): 4.25 | MFU (%): 20.65 | TFLOPs: 204.27 | Global batch size: 8 | Global tokens/sec: 31705.31 | Global MFU (%): 20.65 | Global TFLOPs: 1634.13 | 
2025-05-18 20:48:49,060 - root - INFO - Step: 220 | Loss: 6.42 | Tokens per second: 3982.31 | Training tokens per second (%): 2.73 | MFU (%): 20.75 | TFLOPs: 205.25 | Global batch size: 8 | Global tokens/sec: 31858.49 | Global MFU (%): 20.75 | Global TFLOPs: 1642.03 | 
2025-05-18 20:48:54,245 - root - INFO - Step: 230 | Loss: 6.51 | Tokens per second: 3950.30 | Training tokens per second (%): 4.90 | MFU (%): 20.59 | TFLOPs: 203.60 | Global batch size: 8 | Global tokens/sec: 31602.41 | Global MFU (%): 20.59 | Global TFLOPs: 1628.83 | 
2025-05-18 20:48:59,420 - root - INFO - Step: 240 | Loss: 6.35 | Tokens per second: 3957.94 | Training tokens per second (%): 3.43 | MFU (%): 20.63 | TFLOPs: 204.00 | Global batch size: 8 | Global tokens/sec: 31663.49 | Global MFU (%): 20.63 | Global TFLOPs: 1631.97 | 
2025-05-18 20:49:04,578 - root - INFO - Step: 250 | Loss: 6.43 | Tokens per second: 3971.37 | Training tokens per second (%): 7.18 | MFU (%): 20.70 | TFLOPs: 204.69 | Global batch size: 8 | Global tokens/sec: 31770.99 | Global MFU (%): 20.70 | Global TFLOPs: 1637.52 | 
2025-05-18 20:49:09,758 - root - INFO - Step: 260 | Loss: 5.84 | Tokens per second: 3953.89 | Training tokens per second (%): 7.71 | MFU (%): 20.61 | TFLOPs: 203.79 | Global batch size: 8 | Global tokens/sec: 31631.15 | Global MFU (%): 20.61 | Global TFLOPs: 1630.31 | 
2025-05-18 20:49:14,939 - root - INFO - Step: 270 | Loss: 5.57 | Tokens per second: 3953.77 | Training tokens per second (%): 5.68 | MFU (%): 20.60 | TFLOPs: 203.78 | Global batch size: 8 | Global tokens/sec: 31630.17 | Global MFU (%): 20.60 | Global TFLOPs: 1630.26 | 
