[sbatch-master] running on nid006931
[sbatch-master] SLURM_NODELIST: nid[006931,006995]
[sbatch-master] SLURM_NNODES: 2
[sbatch-master] SLURM_NODEID: 0
[Master] Master node: nid006931
[Master] World size: 8
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid006931 noderank=0 localrank=0
[srun] rank=1 host=nid006995 noderank=1 localrank=0
W0518 22:27:13.682000 103761 torch/distributed/run.py:792] 
W0518 22:27:13.682000 103761 torch/distributed/run.py:792] *****************************************
W0518 22:27:13.682000 103761 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0518 22:27:13.682000 103761 torch/distributed/run.py:792] *****************************************
W0518 22:27:15.035000 166897 torch/distributed/run.py:792] 
W0518 22:27:15.035000 166897 torch/distributed/run.py:792] *****************************************
W0518 22:27:15.035000 166897 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0518 22:27:15.035000 166897 torch/distributed/run.py:792] *****************************************
2025-05-18 22:27:27,774 - root - INFO - [Distributed Init] Rank 0 initialized on node 0 on GPU 0.
2025-05-18 22:27:27,796 - root - INFO - [Distributed Init] Rank 4 initialized on node 1 on GPU 0.
[rank0]:[W518 22:27:28.927967700 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank4]:[W518 22:27:28.617671980 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 4]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:27:28,268 - root - INFO - [Distributed Init] Rank 6 initialized on node 1 on GPU 2.
[rank6]:[W518 22:27:28.672739189 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 6]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:27:28,322 - root - INFO - [Distributed Init] Rank 3 initialized on node 0 on GPU 3.
2025-05-18 22:27:28,322 - root - INFO - [Distributed Init] Rank 1 initialized on node 0 on GPU 1.
[rank3]:[W518 22:27:28.052653269 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank1]:[W518 22:27:28.052653589 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:27:28,328 - root - INFO - [Distributed Init] Rank 7 initialized on node 1 on GPU 3.
2025-05-18 22:27:28,328 - root - INFO - [Distributed Init] Rank 5 initialized on node 1 on GPU 1.
[rank7]:[W518 22:27:28.733151400 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 7]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank5]:[W518 22:27:28.733150984 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 5]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:27:28,362 - root - INFO - [Distributed Init] Rank 2 initialized on node 0 on GPU 2.
[rank2]:[W518 22:27:28.092457429 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:27:33,342 - root - INFO - [Rank 0] All ranks ready!
2025-05-18 22:27:33,342 - root - INFO - Distributed training enabled: 8 processes
2025-05-18 22:27:33,342 - root - INFO - Master process: 0 on cuda:0
2025-05-18 22:27:33,342 - root - INFO - Experiment args: Namespace(dataset='/capstor/scratch/cscs/kasparr/project/train_data.parquet', dataset_type='padded', pretokenized=False, tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=10, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, distributed=True, backend='nccl', find_unused_parameters=False)
2025-05-18 22:27:33,342 - root - INFO - Setting up Tokenizer...
2025-05-18 22:27:33,908 - root - INFO - Setting up DataLoaders...
2025-05-18 22:27:33,908 - root - INFO - Using padded ParquetDataset with on-the-fly tokenization
2025-05-18 22:27:41,261 - root - INFO - Setting up Model...
2025-05-18 22:27:50,101 - root - INFO - Model wrapped with DistributedDataParallel
2025-05-18 22:27:50,102 - root - INFO - Global batch size: 64 (local: 8 × 8 processes)
2025-05-18 22:27:50,102 - root - INFO - Starting training!
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
2025-05-18 22:27:51,524 - root - INFO - Step: 1 | Loss: 11.95 | Tokens per second: 11528.78 | Training tokens per second (%): 3.37 | MFU (%): 10.80 | TFLOPs: 106.77 | Global batch size: 64 | Global tokens/sec: 92230.22 | Global MFU (%): 10.80 | Global TFLOPs: 854.18 | 
2025-05-18 22:27:55,318 - root - INFO - Step: 10 | Loss: 11.93 | Tokens per second: 38869.17 | Training tokens per second (%): 4.30 | MFU (%): 36.40 | TFLOPs: 359.98 | Global batch size: 64 | Global tokens/sec: 310953.38 | Global MFU (%): 36.40 | Global TFLOPs: 2879.87 | 
2025-05-18 22:27:59,914 - root - INFO - Step: 20 | Loss: 11.70 | Tokens per second: 35651.36 | Training tokens per second (%): 4.30 | MFU (%): 33.39 | TFLOPs: 330.18 | Global batch size: 64 | Global tokens/sec: 285210.86 | Global MFU (%): 33.39 | Global TFLOPs: 2641.46 | 
2025-05-18 22:28:04,136 - root - INFO - Step: 30 | Loss: 11.16 | Tokens per second: 38814.28 | Training tokens per second (%): 4.73 | MFU (%): 36.35 | TFLOPs: 359.48 | Global batch size: 64 | Global tokens/sec: 310514.22 | Global MFU (%): 36.35 | Global TFLOPs: 2875.81 | 
2025-05-18 22:28:08,519 - root - INFO - Step: 40 | Loss: 10.09 | Tokens per second: 37383.34 | Training tokens per second (%): 5.05 | MFU (%): 35.01 | TFLOPs: 346.22 | Global batch size: 64 | Global tokens/sec: 299066.68 | Global MFU (%): 35.01 | Global TFLOPs: 2769.78 | 
2025-05-18 22:28:12,723 - root - INFO - Step: 50 | Loss: 9.45 | Tokens per second: 38986.50 | Training tokens per second (%): 5.21 | MFU (%): 36.51 | TFLOPs: 361.07 | Global batch size: 64 | Global tokens/sec: 311892.04 | Global MFU (%): 36.51 | Global TFLOPs: 2888.57 | 
2025-05-18 22:28:16,904 - root - INFO - Step: 60 | Loss: 8.88 | Tokens per second: 39191.24 | Training tokens per second (%): 4.69 | MFU (%): 36.70 | TFLOPs: 362.97 | Global batch size: 64 | Global tokens/sec: 313529.89 | Global MFU (%): 36.70 | Global TFLOPs: 2903.73 | 
2025-05-18 22:28:21,435 - root - INFO - Step: 70 | Loss: 8.39 | Tokens per second: 36165.91 | Training tokens per second (%): 4.03 | MFU (%): 33.87 | TFLOPs: 334.95 | Global batch size: 64 | Global tokens/sec: 289327.31 | Global MFU (%): 33.87 | Global TFLOPs: 2679.58 | 
2025-05-18 22:28:25,621 - root - INFO - Step: 80 | Loss: 7.98 | Tokens per second: 39140.17 | Training tokens per second (%): 4.61 | MFU (%): 36.65 | TFLOPs: 362.49 | Global batch size: 64 | Global tokens/sec: 313121.35 | Global MFU (%): 36.65 | Global TFLOPs: 2899.95 | 
2025-05-18 22:28:29,884 - root - INFO - Step: 90 | Loss: 7.66 | Tokens per second: 38446.18 | Training tokens per second (%): 4.75 | MFU (%): 36.00 | TFLOPs: 356.07 | Global batch size: 64 | Global tokens/sec: 307569.46 | Global MFU (%): 36.00 | Global TFLOPs: 2848.53 | 
2025-05-18 22:28:34,083 - root - INFO - Step: 100 | Loss: 7.52 | Tokens per second: 39021.72 | Training tokens per second (%): 4.15 | MFU (%): 36.54 | TFLOPs: 361.40 | Global batch size: 64 | Global tokens/sec: 312173.72 | Global MFU (%): 36.54 | Global TFLOPs: 2891.17 | 
2025-05-18 22:28:38,415 - root - INFO - Step: 110 | Loss: 7.29 | Tokens per second: 37823.37 | Training tokens per second (%): 4.72 | MFU (%): 35.42 | TFLOPs: 350.30 | Global batch size: 64 | Global tokens/sec: 302586.99 | Global MFU (%): 35.42 | Global TFLOPs: 2802.39 | 
2025-05-18 22:28:42,759 - root - INFO - Step: 120 | Loss: 7.26 | Tokens per second: 37723.45 | Training tokens per second (%): 4.71 | MFU (%): 35.33 | TFLOPs: 349.37 | Global batch size: 64 | Global tokens/sec: 301787.64 | Global MFU (%): 35.33 | Global TFLOPs: 2794.98 | 
2025-05-18 22:28:46,977 - root - INFO - Step: 130 | Loss: 7.18 | Tokens per second: 38848.32 | Training tokens per second (%): 4.61 | MFU (%): 36.38 | TFLOPs: 359.79 | Global batch size: 64 | Global tokens/sec: 310786.59 | Global MFU (%): 36.38 | Global TFLOPs: 2878.33 | 
2025-05-18 22:28:51,385 - root - INFO - Step: 140 | Loss: 7.12 | Tokens per second: 37179.55 | Training tokens per second (%): 5.28 | MFU (%): 34.82 | TFLOPs: 344.34 | Global batch size: 64 | Global tokens/sec: 297436.38 | Global MFU (%): 34.82 | Global TFLOPs: 2754.69 | 
2025-05-18 22:28:55,540 - root - INFO - Step: 150 | Loss: 7.04 | Tokens per second: 39433.29 | Training tokens per second (%): 4.44 | MFU (%): 36.93 | TFLOPs: 365.21 | Global batch size: 64 | Global tokens/sec: 315466.32 | Global MFU (%): 36.93 | Global TFLOPs: 2921.67 | 
2025-05-18 22:28:59,755 - root - INFO - Step: 160 | Loss: 7.04 | Tokens per second: 38879.69 | Training tokens per second (%): 5.21 | MFU (%): 36.41 | TFLOPs: 360.08 | Global batch size: 64 | Global tokens/sec: 311037.52 | Global MFU (%): 36.41 | Global TFLOPs: 2880.65 | 
2025-05-18 22:29:03,937 - root - INFO - Step: 170 | Loss: 6.96 | Tokens per second: 39184.05 | Training tokens per second (%): 4.73 | MFU (%): 36.69 | TFLOPs: 362.90 | Global batch size: 64 | Global tokens/sec: 313472.38 | Global MFU (%): 36.69 | Global TFLOPs: 2903.20 | 
2025-05-18 22:29:08,128 - root - INFO - Step: 180 | Loss: 6.85 | Tokens per second: 39096.92 | Training tokens per second (%): 4.50 | MFU (%): 36.61 | TFLOPs: 362.09 | Global batch size: 64 | Global tokens/sec: 312775.35 | Global MFU (%): 36.61 | Global TFLOPs: 2896.75 | 
2025-05-18 22:29:12,412 - root - INFO - Step: 190 | Loss: 6.80 | Tokens per second: 38247.18 | Training tokens per second (%): 4.11 | MFU (%): 35.82 | TFLOPs: 354.22 | Global batch size: 64 | Global tokens/sec: 305977.45 | Global MFU (%): 35.82 | Global TFLOPs: 2833.79 | 
2025-05-18 22:29:16,631 - root - INFO - Step: 200 | Loss: 6.79 | Tokens per second: 38846.76 | Training tokens per second (%): 4.74 | MFU (%): 36.38 | TFLOPs: 359.78 | Global batch size: 64 | Global tokens/sec: 310774.08 | Global MFU (%): 36.38 | Global TFLOPs: 2878.21 | 
2025-05-18 22:29:20,830 - root - INFO - Step: 210 | Loss: 6.75 | Tokens per second: 39025.18 | Training tokens per second (%): 4.14 | MFU (%): 36.54 | TFLOPs: 361.43 | Global batch size: 64 | Global tokens/sec: 312201.45 | Global MFU (%): 36.54 | Global TFLOPs: 2891.43 | 
2025-05-18 22:29:25,040 - root - INFO - Step: 220 | Loss: 6.85 | Tokens per second: 38919.68 | Training tokens per second (%): 4.58 | MFU (%): 36.45 | TFLOPs: 360.45 | Global batch size: 64 | Global tokens/sec: 311357.41 | Global MFU (%): 36.45 | Global TFLOPs: 2883.61 | 
2025-05-18 22:29:29,230 - root - INFO - Step: 230 | Loss: 6.77 | Tokens per second: 39105.87 | Training tokens per second (%): 5.11 | MFU (%): 36.62 | TFLOPs: 362.18 | Global batch size: 64 | Global tokens/sec: 312846.94 | Global MFU (%): 36.62 | Global TFLOPs: 2897.41 | 
2025-05-18 22:29:33,397 - root - INFO - Step: 240 | Loss: 6.62 | Tokens per second: 39323.52 | Training tokens per second (%): 5.21 | MFU (%): 36.82 | TFLOPs: 364.19 | Global batch size: 64 | Global tokens/sec: 314588.17 | Global MFU (%): 36.82 | Global TFLOPs: 2913.54 | 
2025-05-18 22:29:37,685 - root - INFO - Step: 250 | Loss: 6.57 | Tokens per second: 38213.90 | Training tokens per second (%): 4.81 | MFU (%): 35.79 | TFLOPs: 353.92 | Global batch size: 64 | Global tokens/sec: 305711.17 | Global MFU (%): 35.79 | Global TFLOPs: 2831.32 | 
2025-05-18 22:29:41,872 - root - INFO - Step: 260 | Loss: 6.57 | Tokens per second: 39141.83 | Training tokens per second (%): 4.62 | MFU (%): 36.65 | TFLOPs: 362.51 | Global batch size: 64 | Global tokens/sec: 313134.67 | Global MFU (%): 36.65 | Global TFLOPs: 2900.07 | 
2025-05-18 22:29:46,123 - root - INFO - Step: 270 | Loss: 6.59 | Tokens per second: 38542.98 | Training tokens per second (%): 5.07 | MFU (%): 36.09 | TFLOPs: 356.96 | Global batch size: 64 | Global tokens/sec: 308343.82 | Global MFU (%): 36.09 | Global TFLOPs: 2855.70 | 
