[sbatch-master] running on nid006602
[sbatch-master] SLURM_NODELIST: nid006602
[sbatch-master] SLURM_NNODES: 1
[sbatch-master] SLURM_NODEID: 0
[Master] Master node: nid006602
[Master] World size: 4
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid006602 noderank=0 localrank=0
W0519 08:54:46.899000 158904 torch/distributed/run.py:792] 
W0519 08:54:46.899000 158904 torch/distributed/run.py:792] *****************************************
W0519 08:54:46.899000 158904 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0519 08:54:46.899000 158904 torch/distributed/run.py:792] *****************************************
2025-05-19 08:54:59,878 - root - INFO - [Distributed Init] Rank 0 initialized on node 0 on GPU 0.
[rank0]:[W519 08:55:00.075556355 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 08:55:00,430 - root - INFO - [Distributed Init] Rank 3 initialized on node 0 on GPU 3.
[rank3]:[W519 08:55:00.182688365 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 08:55:00,460 - root - INFO - [Distributed Init] Rank 2 initialized on node 0 on GPU 2.
2025-05-19 08:55:00,460 - root - INFO - [Distributed Init] Rank 1 initialized on node 0 on GPU 1.
[rank2]:[W519 08:55:00.213723054 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank1]:[W519 08:55:00.214038213 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 08:55:07,345 - root - INFO - [Rank 0] All ranks ready!
2025-05-19 08:55:07,345 - root - INFO - Distributed training enabled: 4 processes
2025-05-19 08:55:07,345 - root - INFO - Master process: 0 on cuda:0
2025-05-19 08:55:07,345 - root - INFO - Experiment args: Namespace(dataset='/capstor/scratch/cscs/kasparr/project/train_data_tokenized_padded_snappy.parquet', dataset_type='padded', pretokenized=True, tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=10, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, distributed=True, backend='nccl', find_unused_parameters=False)
2025-05-19 08:55:07,345 - root - INFO - Setting up Tokenizer...
2025-05-19 08:55:08,026 - root - INFO - Setting up DataLoaders...
2025-05-19 08:55:08,026 - root - INFO - Using pretokenized data: /capstor/scratch/cscs/kasparr/project/train_data_tokenized_padded_snappy.parquet
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
2025-05-19 08:55:39,351 - root - INFO - Setting up Model...
Loaded pretokenized dataset with 785906 samples
2025-05-19 08:55:48,598 - root - INFO - Model wrapped with DistributedDataParallel
2025-05-19 08:55:48,599 - root - INFO - Global batch size: 32 (local: 8 × 4 processes)
2025-05-19 08:55:48,599 - root - INFO - Starting training!
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
2025-05-19 08:55:50,090 - root - INFO - Step: 1 | Loss: 11.95 | Tokens per second: 10995.32 | Training tokens per second (%): 4.86 | MFU (%): 10.30 | TFLOPs: 101.83 | Global batch size: 32 | Global tokens/sec: 43981.30 | Global MFU (%): 10.30 | Global TFLOPs: 407.33 | 
2025-05-19 08:55:53,753 - root - INFO - Step: 10 | Loss: 11.89 | Tokens per second: 40258.02 | Training tokens per second (%): 9.42 | MFU (%): 37.70 | TFLOPs: 372.85 | Global batch size: 32 | Global tokens/sec: 161032.09 | Global MFU (%): 37.70 | Global TFLOPs: 1491.39 | 
2025-05-19 08:55:57,735 - root - INFO - Step: 20 | Loss: 11.39 | Tokens per second: 41159.64 | Training tokens per second (%): 9.72 | MFU (%): 38.54 | TFLOPs: 381.20 | Global batch size: 32 | Global tokens/sec: 164638.58 | Global MFU (%): 38.54 | Global TFLOPs: 1524.79 | 
2025-05-19 08:56:01,713 - root - INFO - Step: 30 | Loss: 10.82 | Tokens per second: 41192.05 | Training tokens per second (%): 9.62 | MFU (%): 38.57 | TFLOPs: 381.50 | Global batch size: 32 | Global tokens/sec: 164768.21 | Global MFU (%): 38.57 | Global TFLOPs: 1525.99 | 
2025-05-19 08:56:05,691 - root - INFO - Step: 40 | Loss: 10.16 | Tokens per second: 41193.50 | Training tokens per second (%): 8.43 | MFU (%): 38.58 | TFLOPs: 381.51 | Global batch size: 32 | Global tokens/sec: 164774.00 | Global MFU (%): 38.58 | Global TFLOPs: 1526.04 | 
2025-05-19 08:56:09,674 - root - INFO - Step: 50 | Loss: 9.62 | Tokens per second: 41137.20 | Training tokens per second (%): 9.75 | MFU (%): 38.52 | TFLOPs: 380.99 | Global batch size: 32 | Global tokens/sec: 164548.79 | Global MFU (%): 38.52 | Global TFLOPs: 1523.96 | 
2025-05-19 08:56:13,647 - root - INFO - Step: 60 | Loss: 9.22 | Tokens per second: 41247.69 | Training tokens per second (%): 8.90 | MFU (%): 38.63 | TFLOPs: 382.01 | Global batch size: 32 | Global tokens/sec: 164990.75 | Global MFU (%): 38.63 | Global TFLOPs: 1528.05 | 
2025-05-19 08:56:17,616 - root - INFO - Step: 70 | Loss: 8.68 | Tokens per second: 41285.49 | Training tokens per second (%): 9.66 | MFU (%): 38.66 | TFLOPs: 382.36 | Global batch size: 32 | Global tokens/sec: 165141.95 | Global MFU (%): 38.66 | Global TFLOPs: 1529.45 | 
2025-05-19 08:56:21,589 - root - INFO - Step: 80 | Loss: 8.21 | Tokens per second: 41254.79 | Training tokens per second (%): 9.37 | MFU (%): 38.63 | TFLOPs: 382.08 | Global batch size: 32 | Global tokens/sec: 165019.16 | Global MFU (%): 38.63 | Global TFLOPs: 1528.31 | 
2025-05-19 08:56:25,562 - root - INFO - Step: 90 | Loss: 7.80 | Tokens per second: 41245.45 | Training tokens per second (%): 9.33 | MFU (%): 38.62 | TFLOPs: 381.99 | Global batch size: 32 | Global tokens/sec: 164981.79 | Global MFU (%): 38.62 | Global TFLOPs: 1527.97 | 
2025-05-19 08:56:29,536 - root - INFO - Step: 100 | Loss: 7.64 | Tokens per second: 41232.28 | Training tokens per second (%): 9.46 | MFU (%): 38.61 | TFLOPs: 381.87 | Global batch size: 32 | Global tokens/sec: 164929.10 | Global MFU (%): 38.61 | Global TFLOPs: 1527.48 | 
2025-05-19 08:56:33,496 - root - INFO - Step: 110 | Loss: 7.38 | Tokens per second: 41379.18 | Training tokens per second (%): 9.61 | MFU (%): 38.75 | TFLOPs: 383.23 | Global batch size: 32 | Global tokens/sec: 165516.74 | Global MFU (%): 38.75 | Global TFLOPs: 1532.92 | 
2025-05-19 08:56:37,498 - root - INFO - Step: 120 | Loss: 7.37 | Tokens per second: 40952.94 | Training tokens per second (%): 9.11 | MFU (%): 38.35 | TFLOPs: 379.28 | Global batch size: 32 | Global tokens/sec: 163811.77 | Global MFU (%): 38.35 | Global TFLOPs: 1517.13 | 
2025-05-19 08:56:41,468 - root - INFO - Step: 130 | Loss: 7.26 | Tokens per second: 41280.36 | Training tokens per second (%): 9.71 | MFU (%): 38.66 | TFLOPs: 382.32 | Global batch size: 32 | Global tokens/sec: 165121.43 | Global MFU (%): 38.66 | Global TFLOPs: 1529.26 | 
2025-05-19 08:56:45,437 - root - INFO - Step: 140 | Loss: 7.29 | Tokens per second: 41289.79 | Training tokens per second (%): 8.94 | MFU (%): 38.67 | TFLOPs: 382.40 | Global batch size: 32 | Global tokens/sec: 165159.15 | Global MFU (%): 38.67 | Global TFLOPs: 1529.61 | 
2025-05-19 08:56:49,410 - root - INFO - Step: 150 | Loss: 7.12 | Tokens per second: 41238.92 | Training tokens per second (%): 9.78 | MFU (%): 38.62 | TFLOPs: 381.93 | Global batch size: 32 | Global tokens/sec: 164955.68 | Global MFU (%): 38.62 | Global TFLOPs: 1527.73 | 
2025-05-19 08:56:53,374 - root - INFO - Step: 160 | Loss: 7.27 | Tokens per second: 41347.20 | Training tokens per second (%): 8.54 | MFU (%): 38.72 | TFLOPs: 382.93 | Global batch size: 32 | Global tokens/sec: 165388.81 | Global MFU (%): 38.72 | Global TFLOPs: 1531.74 | 
2025-05-19 08:56:57,349 - root - INFO - Step: 170 | Loss: 7.16 | Tokens per second: 41224.63 | Training tokens per second (%): 9.07 | MFU (%): 38.60 | TFLOPs: 381.80 | Global batch size: 32 | Global tokens/sec: 164898.53 | Global MFU (%): 38.60 | Global TFLOPs: 1527.20 | 
