[sbatch-master] running on nid006548
[sbatch-master] SLURM_NODELIST: nid[006548,006552]
[sbatch-master] SLURM_NNODES: 2
[sbatch-master] SLURM_NODEID: 0
[Master] Master node: nid006548
[Master] World size: 8
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid006548 noderank=0 localrank=0
W0518 22:00:58.174000 288849 torch/distributed/run.py:792] 
W0518 22:00:58.174000 288849 torch/distributed/run.py:792] *****************************************
W0518 22:00:58.174000 288849 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0518 22:00:58.174000 288849 torch/distributed/run.py:792] *****************************************
[srun] rank=1 host=nid006552 noderank=1 localrank=0
W0518 22:01:03.475000 35557 torch/distributed/run.py:792] 
W0518 22:01:03.475000 35557 torch/distributed/run.py:792] *****************************************
W0518 22:01:03.475000 35557 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0518 22:01:03.475000 35557 torch/distributed/run.py:792] *****************************************
2025-05-18 22:01:16,039 - root - INFO - [Distributed Init] Rank 4 initialized on node 1 on GPU 0.
2025-05-18 22:01:16,045 - root - INFO - [Distributed Init] Rank 0 initialized on node 0 on GPU 0.
[rank4]:[W518 22:01:16.999401747 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 4]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank0]:[W518 22:01:16.347142172 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:01:16,551 - root - INFO - [Distributed Init] Rank 3 initialized on node 0 on GPU 3.
[rank3]:[W518 22:01:16.392434764 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:01:16,566 - root - INFO - [Distributed Init] Rank 5 initialized on node 1 on GPU 1.
[rank5]:[W518 22:01:16.072451689 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 5]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:01:16,580 - root - INFO - [Distributed Init] Rank 2 initialized on node 0 on GPU 2.
2025-05-18 22:01:16,580 - root - INFO - [Distributed Init] Rank 1 initialized on node 0 on GPU 1.
[rank1]:[W518 22:01:16.422126458 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank2]:[W518 22:01:16.422126426 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:01:16,627 - root - INFO - [Distributed Init] Rank 6 initialized on node 1 on GPU 2.
[rank6]:[W518 22:01:16.132814971 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 6]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:01:16,688 - root - INFO - [Distributed Init] Rank 7 initialized on node 1 on GPU 3.
[rank7]:[W518 22:01:16.194037395 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 7]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-18 22:01:21,604 - root - INFO - [Rank 0] All ranks ready!
2025-05-18 22:01:21,604 - root - INFO - Distributed training enabled: 8 processes
2025-05-18 22:01:21,604 - root - INFO - Master process: 0 on cuda:0
2025-05-18 22:01:21,604 - root - INFO - Experiment args: Namespace(dataset='/capstor/scratch/cscs/kasparr/project/train_data_tokenized_padded_snappy.parquet', dataset_type='padded', pretokenized=True, tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=10, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, distributed=True, backend='nccl', find_unused_parameters=False)
2025-05-18 22:01:21,604 - root - INFO - Setting up Tokenizer...
2025-05-18 22:01:22,154 - root - INFO - Setting up DataLoaders...
2025-05-18 22:01:22,154 - root - INFO - Using pretokenized data: /capstor/scratch/cscs/kasparr/project/train_data_tokenized_padded_snappy.parquet
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
2025-05-18 22:01:53,274 - root - INFO - Setting up Model...
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
2025-05-18 22:02:29,507 - root - INFO - Model wrapped with DistributedDataParallel
2025-05-18 22:02:29,509 - root - INFO - Global batch size: 8 (local: 1 × 8 processes)
2025-05-18 22:02:29,510 - root - INFO - Starting training!
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
2025-05-18 22:02:31,259 - root - INFO - Step: 1 | Loss: 12.05 | Tokens per second: 1171.11 | Training tokens per second (%): 6.13 | MFU (%): 6.10 | TFLOPs: 60.36 | Global batch size: 8 | Global tokens/sec: 9368.87 | Global MFU (%): 6.10 | Global TFLOPs: 482.88 | 
2025-05-18 22:02:35,983 - root - INFO - Step: 10 | Loss: 11.58 | Tokens per second: 3902.95 | Training tokens per second (%): 4.79 | MFU (%): 20.34 | TFLOPs: 201.16 | Global batch size: 8 | Global tokens/sec: 31223.64 | Global MFU (%): 20.34 | Global TFLOPs: 1609.30 | 
2025-05-18 22:02:41,214 - root - INFO - Step: 20 | Loss: 10.03 | Tokens per second: 3915.34 | Training tokens per second (%): 7.45 | MFU (%): 20.40 | TFLOPs: 201.80 | Global batch size: 8 | Global tokens/sec: 31322.74 | Global MFU (%): 20.40 | Global TFLOPs: 1614.41 | 
2025-05-18 22:02:46,462 - root - INFO - Step: 30 | Loss: 9.73 | Tokens per second: 3903.27 | Training tokens per second (%): 5.80 | MFU (%): 20.34 | TFLOPs: 201.18 | Global batch size: 8 | Global tokens/sec: 31226.19 | Global MFU (%): 20.34 | Global TFLOPs: 1609.44 | 
2025-05-18 22:02:51,702 - root - INFO - Step: 40 | Loss: 9.19 | Tokens per second: 3909.22 | Training tokens per second (%): 4.15 | MFU (%): 20.37 | TFLOPs: 201.49 | Global batch size: 8 | Global tokens/sec: 31273.77 | Global MFU (%): 20.37 | Global TFLOPs: 1611.89 | 
2025-05-18 22:02:56,945 - root - INFO - Step: 50 | Loss: 8.68 | Tokens per second: 3907.21 | Training tokens per second (%): 4.12 | MFU (%): 20.36 | TFLOPs: 201.38 | Global batch size: 8 | Global tokens/sec: 31257.65 | Global MFU (%): 20.36 | Global TFLOPs: 1611.06 | 
2025-05-18 22:03:02,193 - root - INFO - Step: 60 | Loss: 8.26 | Tokens per second: 3902.83 | Training tokens per second (%): 6.01 | MFU (%): 20.34 | TFLOPs: 201.16 | Global batch size: 8 | Global tokens/sec: 31222.66 | Global MFU (%): 20.34 | Global TFLOPs: 1609.25 | 
2025-05-18 22:03:07,449 - root - INFO - Step: 70 | Loss: 7.96 | Tokens per second: 3897.01 | Training tokens per second (%): 2.99 | MFU (%): 20.31 | TFLOPs: 200.86 | Global batch size: 8 | Global tokens/sec: 31176.09 | Global MFU (%): 20.31 | Global TFLOPs: 1606.85 | 
2025-05-18 22:03:12,705 - root - INFO - Step: 80 | Loss: 7.34 | Tokens per second: 3897.23 | Training tokens per second (%): 6.46 | MFU (%): 20.31 | TFLOPs: 200.87 | Global batch size: 8 | Global tokens/sec: 31177.82 | Global MFU (%): 20.31 | Global TFLOPs: 1606.94 | 
2025-05-18 22:03:17,963 - root - INFO - Step: 90 | Loss: 7.35 | Tokens per second: 3895.76 | Training tokens per second (%): 3.94 | MFU (%): 20.30 | TFLOPs: 200.79 | Global batch size: 8 | Global tokens/sec: 31166.04 | Global MFU (%): 20.30 | Global TFLOPs: 1606.34 | 
2025-05-18 22:03:23,340 - root - INFO - Step: 100 | Loss: 7.31 | Tokens per second: 3809.73 | Training tokens per second (%): 5.36 | MFU (%): 19.85 | TFLOPs: 196.36 | Global batch size: 8 | Global tokens/sec: 30477.81 | Global MFU (%): 19.85 | Global TFLOPs: 1570.86 | 
2025-05-18 22:03:28,606 - root - INFO - Step: 110 | Loss: 7.27 | Tokens per second: 3889.33 | Training tokens per second (%): 6.78 | MFU (%): 20.27 | TFLOPs: 200.46 | Global batch size: 8 | Global tokens/sec: 31114.62 | Global MFU (%): 20.27 | Global TFLOPs: 1603.69 | 
2025-05-18 22:03:33,872 - root - INFO - Step: 120 | Loss: 7.10 | Tokens per second: 3889.75 | Training tokens per second (%): 3.38 | MFU (%): 20.27 | TFLOPs: 200.48 | Global batch size: 8 | Global tokens/sec: 31118.02 | Global MFU (%): 20.27 | Global TFLOPs: 1603.86 | 
2025-05-18 22:03:39,208 - root - INFO - Step: 130 | Loss: 7.04 | Tokens per second: 3838.88 | Training tokens per second (%): 2.56 | MFU (%): 20.01 | TFLOPs: 197.86 | Global batch size: 8 | Global tokens/sec: 30711.07 | Global MFU (%): 20.01 | Global TFLOPs: 1582.89 | 
2025-05-18 22:03:44,484 - root - INFO - Step: 140 | Loss: 6.94 | Tokens per second: 3882.86 | Training tokens per second (%): 3.35 | MFU (%): 20.24 | TFLOPs: 200.13 | Global batch size: 8 | Global tokens/sec: 31062.84 | Global MFU (%): 20.24 | Global TFLOPs: 1601.02 | 
2025-05-18 22:03:49,821 - root - INFO - Step: 150 | Loss: 6.67 | Tokens per second: 3837.56 | Training tokens per second (%): 4.52 | MFU (%): 20.00 | TFLOPs: 197.79 | Global batch size: 8 | Global tokens/sec: 30700.51 | Global MFU (%): 20.00 | Global TFLOPs: 1582.34 | 
2025-05-18 22:03:55,097 - root - INFO - Step: 160 | Loss: 6.95 | Tokens per second: 3882.53 | Training tokens per second (%): 4.36 | MFU (%): 20.23 | TFLOPs: 200.11 | Global batch size: 8 | Global tokens/sec: 31060.24 | Global MFU (%): 20.23 | Global TFLOPs: 1600.88 | 
2025-05-18 22:04:00,400 - root - INFO - Step: 170 | Loss: 7.08 | Tokens per second: 3862.98 | Training tokens per second (%): 4.51 | MFU (%): 20.13 | TFLOPs: 199.10 | Global batch size: 8 | Global tokens/sec: 30903.81 | Global MFU (%): 20.13 | Global TFLOPs: 1592.82 | 
2025-05-18 22:04:05,666 - root - INFO - Step: 180 | Loss: 6.85 | Tokens per second: 3889.42 | Training tokens per second (%): 3.79 | MFU (%): 20.27 | TFLOPs: 200.47 | Global batch size: 8 | Global tokens/sec: 31115.35 | Global MFU (%): 20.27 | Global TFLOPs: 1603.72 | 
2025-05-18 22:04:10,946 - root - INFO - Step: 190 | Loss: 6.42 | Tokens per second: 3879.31 | Training tokens per second (%): 3.79 | MFU (%): 20.22 | TFLOPs: 199.94 | Global batch size: 8 | Global tokens/sec: 31034.52 | Global MFU (%): 20.22 | Global TFLOPs: 1599.56 | 
2025-05-18 22:04:16,215 - root - INFO - Step: 200 | Loss: 6.88 | Tokens per second: 3887.86 | Training tokens per second (%): 4.19 | MFU (%): 20.26 | TFLOPs: 200.39 | Global batch size: 8 | Global tokens/sec: 31102.89 | Global MFU (%): 20.26 | Global TFLOPs: 1603.08 | 
2025-05-18 22:04:21,491 - root - INFO - Step: 210 | Loss: 6.58 | Tokens per second: 3882.22 | Training tokens per second (%): 4.25 | MFU (%): 20.23 | TFLOPs: 200.09 | Global batch size: 8 | Global tokens/sec: 31057.80 | Global MFU (%): 20.23 | Global TFLOPs: 1600.76 | 
2025-05-18 22:04:26,791 - root - INFO - Step: 220 | Loss: 6.51 | Tokens per second: 3865.36 | Training tokens per second (%): 2.74 | MFU (%): 20.14 | TFLOPs: 199.23 | Global batch size: 8 | Global tokens/sec: 30922.85 | Global MFU (%): 20.14 | Global TFLOPs: 1593.80 | 
2025-05-18 22:04:32,082 - root - INFO - Step: 230 | Loss: 6.63 | Tokens per second: 3870.80 | Training tokens per second (%): 4.91 | MFU (%): 20.17 | TFLOPs: 199.51 | Global batch size: 8 | Global tokens/sec: 30966.43 | Global MFU (%): 20.17 | Global TFLOPs: 1596.05 | 
2025-05-18 22:04:37,364 - root - INFO - Step: 240 | Loss: 6.42 | Tokens per second: 3878.13 | Training tokens per second (%): 3.44 | MFU (%): 20.21 | TFLOPs: 199.88 | Global batch size: 8 | Global tokens/sec: 31025.06 | Global MFU (%): 20.21 | Global TFLOPs: 1599.07 | 
2025-05-18 22:04:42,628 - root - INFO - Step: 250 | Loss: 6.52 | Tokens per second: 3891.07 | Training tokens per second (%): 7.18 | MFU (%): 20.28 | TFLOPs: 200.55 | Global batch size: 8 | Global tokens/sec: 31128.59 | Global MFU (%): 20.28 | Global TFLOPs: 1604.41 | 
2025-05-18 22:04:47,902 - root - INFO - Step: 260 | Loss: 5.98 | Tokens per second: 3884.19 | Training tokens per second (%): 7.71 | MFU (%): 20.24 | TFLOPs: 200.20 | Global batch size: 8 | Global tokens/sec: 31073.55 | Global MFU (%): 20.24 | Global TFLOPs: 1601.57 | 
2025-05-18 22:04:53,177 - root - INFO - Step: 270 | Loss: 5.73 | Tokens per second: 3882.84 | Training tokens per second (%): 5.68 | MFU (%): 20.24 | TFLOPs: 200.13 | Global batch size: 8 | Global tokens/sec: 31062.75 | Global MFU (%): 20.24 | Global TFLOPs: 1601.01 | 
2025-05-18 22:04:58,457 - root - INFO - Step: 280 | Loss: 6.12 | Tokens per second: 3879.36 | Training tokens per second (%): 4.49 | MFU (%): 20.22 | TFLOPs: 199.95 | Global batch size: 8 | Global tokens/sec: 31034.85 | Global MFU (%): 20.22 | Global TFLOPs: 1599.57 | 
2025-05-18 22:05:03,756 - root - INFO - Step: 290 | Loss: 6.04 | Tokens per second: 3865.96 | Training tokens per second (%): 3.83 | MFU (%): 20.15 | TFLOPs: 199.26 | Global batch size: 8 | Global tokens/sec: 30927.70 | Global MFU (%): 20.15 | Global TFLOPs: 1594.05 | 
