[sbatch-master] running on nid006596
[sbatch-master] SLURM_NODELIST: nid[006596,006600]
[sbatch-master] SLURM_NNODES: 2
[sbatch-master] SLURM_NODEID: 0
[Master] Master node: nid006596
[Master] World size: 8
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid006596 noderank=0 localrank=0
[srun] rank=1 host=nid006600 noderank=1 localrank=0
W0519 09:03:10.603000 213517 torch/distributed/run.py:792] 
W0519 09:03:10.603000 213517 torch/distributed/run.py:792] *****************************************
W0519 09:03:10.603000 213517 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0519 09:03:10.603000 213517 torch/distributed/run.py:792] *****************************************
W0519 09:03:10.613000 209308 torch/distributed/run.py:792] 
W0519 09:03:10.613000 209308 torch/distributed/run.py:792] *****************************************
W0519 09:03:10.613000 209308 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0519 09:03:10.613000 209308 torch/distributed/run.py:792] *****************************************
2025-05-19 09:03:22,815 - root - INFO - [Distributed Init] Rank 4 initialized on node 1 on GPU 0.
2025-05-19 09:03:23,011 - root - INFO - [Distributed Init] Rank 0 initialized on node 0 on GPU 0.
[rank4]:[W519 09:03:23.645036777 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 4]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 09:03:23,348 - root - INFO - [Distributed Init] Rank 7 initialized on node 1 on GPU 3.
[rank7]:[W519 09:03:23.762331431 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 7]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 09:03:23,408 - root - INFO - [Distributed Init] Rank 6 initialized on node 1 on GPU 2.
[rank6]:[W519 09:03:23.822030856 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 6]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 09:03:23,418 - root - INFO - [Distributed Init] Rank 5 initialized on node 1 on GPU 1.
[rank5]:[W519 09:03:23.832059281 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 5]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank0]:[W519 09:03:23.349318300 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 09:03:23,480 - root - INFO - [Distributed Init] Rank 1 initialized on node 0 on GPU 1.
2025-05-19 09:03:23,480 - root - INFO - [Distributed Init] Rank 2 initialized on node 0 on GPU 2.
2025-05-19 09:03:23,480 - root - INFO - [Distributed Init] Rank 3 initialized on node 0 on GPU 3.
[rank2]:[W519 09:03:23.403469473 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank1]:[W519 09:03:23.403470401 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank3]:[W519 09:03:23.403478529 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 09:03:28,473 - root - INFO - [Rank 0] All ranks ready!
2025-05-19 09:03:28,473 - root - INFO - Distributed training enabled: 8 processes
2025-05-19 09:03:28,473 - root - INFO - Master process: 0 on cuda:0
2025-05-19 09:03:28,473 - root - INFO - Experiment args: Namespace(dataset='/capstor/scratch/cscs/kasparr/project/train_data_tokenized_padded_snappy.parquet', dataset_type='padded', pretokenized=True, tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=10, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, distributed=True, backend='nccl', find_unused_parameters=False)
2025-05-19 09:03:28,473 - root - INFO - Setting up Tokenizer...
2025-05-19 09:03:29,034 - root - INFO - Setting up DataLoaders...
2025-05-19 09:03:29,034 - root - INFO - Using pretokenized data: /capstor/scratch/cscs/kasparr/project/train_data_tokenized_padded_snappy.parquet
Loaded pretokenized dataset with 785906 samplesLoaded pretokenized dataset with 785906 samples

Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
Loaded pretokenized dataset with 785906 samples
2025-05-19 09:04:01,319 - root - INFO - Setting up Model...
Loaded pretokenized dataset with 785906 samples
2025-05-19 09:04:10,208 - root - INFO - Model wrapped with DistributedDataParallel
2025-05-19 09:04:10,209 - root - INFO - Global batch size: 64 (local: 8 × 8 processes)
2025-05-19 09:04:10,209 - root - INFO - Starting training!
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
2025-05-19 09:04:11,785 - root - INFO - Step: 1 | Loss: 11.96 | Tokens per second: 10403.68 | Training tokens per second (%): 3.37 | MFU (%): 9.74 | TFLOPs: 96.35 | Global batch size: 64 | Global tokens/sec: 83229.41 | Global MFU (%): 9.74 | Global TFLOPs: 770.82 | 
2025-05-19 09:04:15,914 - root - INFO - Step: 10 | Loss: 11.88 | Tokens per second: 35717.68 | Training tokens per second (%): 4.30 | MFU (%): 33.45 | TFLOPs: 330.80 | Global batch size: 64 | Global tokens/sec: 285741.46 | Global MFU (%): 33.45 | Global TFLOPs: 2646.37 | 
2025-05-19 09:04:20,098 - root - INFO - Step: 20 | Loss: 11.39 | Tokens per second: 39165.07 | Training tokens per second (%): 4.30 | MFU (%): 36.68 | TFLOPs: 362.72 | Global batch size: 64 | Global tokens/sec: 313320.57 | Global MFU (%): 36.68 | Global TFLOPs: 2901.80 | 
2025-05-19 09:04:24,391 - root - INFO - Step: 30 | Loss: 10.73 | Tokens per second: 38171.92 | Training tokens per second (%): 4.73 | MFU (%): 35.75 | TFLOPs: 353.53 | Global batch size: 64 | Global tokens/sec: 305375.37 | Global MFU (%): 35.75 | Global TFLOPs: 2828.21 | 
2025-05-19 09:04:28,569 - root - INFO - Step: 40 | Loss: 10.26 | Tokens per second: 39222.62 | Training tokens per second (%): 5.06 | MFU (%): 36.73 | TFLOPs: 363.26 | Global batch size: 64 | Global tokens/sec: 313780.96 | Global MFU (%): 36.73 | Global TFLOPs: 2906.06 | 
2025-05-19 09:04:32,742 - root - INFO - Step: 50 | Loss: 9.62 | Tokens per second: 39269.12 | Training tokens per second (%): 5.21 | MFU (%): 36.77 | TFLOPs: 363.69 | Global batch size: 64 | Global tokens/sec: 314152.99 | Global MFU (%): 36.77 | Global TFLOPs: 2909.51 | 
2025-05-19 09:04:36,943 - root - INFO - Step: 60 | Loss: 9.07 | Tokens per second: 39003.40 | Training tokens per second (%): 4.69 | MFU (%): 36.52 | TFLOPs: 361.23 | Global batch size: 64 | Global tokens/sec: 312027.22 | Global MFU (%): 36.52 | Global TFLOPs: 2889.82 | 
2025-05-19 09:04:41,113 - root - INFO - Step: 70 | Loss: 8.59 | Tokens per second: 39301.30 | Training tokens per second (%): 4.04 | MFU (%): 36.80 | TFLOPs: 363.99 | Global batch size: 64 | Global tokens/sec: 314410.42 | Global MFU (%): 36.80 | Global TFLOPs: 2911.89 | 
2025-05-19 09:04:45,281 - root - INFO - Step: 80 | Loss: 8.14 | Tokens per second: 39313.82 | Training tokens per second (%): 4.61 | MFU (%): 36.82 | TFLOPs: 364.10 | Global batch size: 64 | Global tokens/sec: 314510.59 | Global MFU (%): 36.82 | Global TFLOPs: 2912.82 | 
2025-05-19 09:04:49,478 - root - INFO - Step: 90 | Loss: 7.76 | Tokens per second: 39040.36 | Training tokens per second (%): 4.75 | MFU (%): 36.56 | TFLOPs: 361.57 | Global batch size: 64 | Global tokens/sec: 312322.89 | Global MFU (%): 36.56 | Global TFLOPs: 2892.56 | 
2025-05-19 09:04:53,650 - root - INFO - Step: 100 | Loss: 7.59 | Tokens per second: 39282.15 | Training tokens per second (%): 4.16 | MFU (%): 36.79 | TFLOPs: 363.81 | Global batch size: 64 | Global tokens/sec: 314257.19 | Global MFU (%): 36.79 | Global TFLOPs: 2910.47 | 
2025-05-19 09:04:57,855 - root - INFO - Step: 110 | Loss: 7.33 | Tokens per second: 38971.83 | Training tokens per second (%): 4.73 | MFU (%): 36.49 | TFLOPs: 360.93 | Global batch size: 64 | Global tokens/sec: 311774.66 | Global MFU (%): 36.49 | Global TFLOPs: 2887.48 | 
2025-05-19 09:05:02,039 - root - INFO - Step: 120 | Loss: 7.29 | Tokens per second: 39165.93 | Training tokens per second (%): 4.71 | MFU (%): 36.68 | TFLOPs: 362.73 | Global batch size: 64 | Global tokens/sec: 313327.41 | Global MFU (%): 36.68 | Global TFLOPs: 2901.86 | 
2025-05-19 09:05:06,243 - root - INFO - Step: 130 | Loss: 7.21 | Tokens per second: 38974.04 | Training tokens per second (%): 4.62 | MFU (%): 36.50 | TFLOPs: 360.96 | Global batch size: 64 | Global tokens/sec: 311792.36 | Global MFU (%): 36.50 | Global TFLOPs: 2887.64 | 
2025-05-19 09:05:10,437 - root - INFO - Step: 140 | Loss: 7.15 | Tokens per second: 39076.37 | Training tokens per second (%): 5.29 | MFU (%): 36.59 | TFLOPs: 361.90 | Global batch size: 64 | Global tokens/sec: 312610.93 | Global MFU (%): 36.59 | Global TFLOPs: 2895.22 | 
2025-05-19 09:05:14,623 - root - INFO - Step: 150 | Loss: 7.08 | Tokens per second: 39145.46 | Training tokens per second (%): 4.45 | MFU (%): 36.66 | TFLOPs: 362.54 | Global batch size: 64 | Global tokens/sec: 313163.70 | Global MFU (%): 36.66 | Global TFLOPs: 2900.34 | 
2025-05-19 09:05:18,796 - root - INFO - Step: 160 | Loss: 7.08 | Tokens per second: 39264.55 | Training tokens per second (%): 5.22 | MFU (%): 36.77 | TFLOPs: 363.65 | Global batch size: 64 | Global tokens/sec: 314116.36 | Global MFU (%): 36.77 | Global TFLOPs: 2909.17 | 
2025-05-19 09:05:22,964 - root - INFO - Step: 170 | Loss: 7.00 | Tokens per second: 39319.74 | Training tokens per second (%): 4.73 | MFU (%): 36.82 | TFLOPs: 364.16 | Global batch size: 64 | Global tokens/sec: 314557.92 | Global MFU (%): 36.82 | Global TFLOPs: 2913.26 | 
2025-05-19 09:05:27,138 - root - INFO - Step: 180 | Loss: 6.91 | Tokens per second: 39258.14 | Training tokens per second (%): 4.50 | MFU (%): 36.76 | TFLOPs: 363.59 | Global batch size: 64 | Global tokens/sec: 314065.15 | Global MFU (%): 36.76 | Global TFLOPs: 2908.69 | 
2025-05-19 09:05:31,315 - root - INFO - Step: 190 | Loss: 6.87 | Tokens per second: 39232.18 | Training tokens per second (%): 4.12 | MFU (%): 36.74 | TFLOPs: 363.35 | Global batch size: 64 | Global tokens/sec: 313857.44 | Global MFU (%): 36.74 | Global TFLOPs: 2906.77 | 
2025-05-19 09:05:35,498 - root - INFO - Step: 200 | Loss: 6.85 | Tokens per second: 39174.77 | Training tokens per second (%): 4.74 | MFU (%): 36.68 | TFLOPs: 362.81 | Global batch size: 64 | Global tokens/sec: 313398.13 | Global MFU (%): 36.68 | Global TFLOPs: 2902.51 | 
2025-05-19 09:05:39,687 - root - INFO - Step: 210 | Loss: 6.82 | Tokens per second: 39126.60 | Training tokens per second (%): 4.15 | MFU (%): 36.64 | TFLOPs: 362.37 | Global batch size: 64 | Global tokens/sec: 313012.82 | Global MFU (%): 36.64 | Global TFLOPs: 2898.95 | 
2025-05-19 09:05:43,849 - root - INFO - Step: 220 | Loss: 6.92 | Tokens per second: 39371.18 | Training tokens per second (%): 4.58 | MFU (%): 36.87 | TFLOPs: 364.63 | Global batch size: 64 | Global tokens/sec: 314969.40 | Global MFU (%): 36.87 | Global TFLOPs: 2917.07 | 
2025-05-19 09:05:48,022 - root - INFO - Step: 230 | Loss: 6.83 | Tokens per second: 39267.54 | Training tokens per second (%): 5.11 | MFU (%): 36.77 | TFLOPs: 363.67 | Global batch size: 64 | Global tokens/sec: 314140.35 | Global MFU (%): 36.77 | Global TFLOPs: 2909.39 | 
2025-05-19 09:05:52,198 - root - INFO - Step: 240 | Loss: 6.69 | Tokens per second: 39244.75 | Training tokens per second (%): 5.21 | MFU (%): 36.75 | TFLOPs: 363.46 | Global batch size: 64 | Global tokens/sec: 313958.02 | Global MFU (%): 36.75 | Global TFLOPs: 2907.70 | 
2025-05-19 09:05:56,363 - root - INFO - Step: 250 | Loss: 6.64 | Tokens per second: 39343.18 | Training tokens per second (%): 4.82 | MFU (%): 36.84 | TFLOPs: 364.37 | Global batch size: 64 | Global tokens/sec: 314745.46 | Global MFU (%): 36.84 | Global TFLOPs: 2914.99 | 
2025-05-19 09:06:00,545 - root - INFO - Step: 260 | Loss: 6.66 | Tokens per second: 39185.22 | Training tokens per second (%): 4.62 | MFU (%): 36.69 | TFLOPs: 362.91 | Global batch size: 64 | Global tokens/sec: 313481.75 | Global MFU (%): 36.69 | Global TFLOPs: 2903.29 | 
2025-05-19 09:06:04,710 - root - INFO - Step: 270 | Loss: 6.67 | Tokens per second: 39342.55 | Training tokens per second (%): 5.07 | MFU (%): 36.84 | TFLOPs: 364.37 | Global batch size: 64 | Global tokens/sec: 314740.43 | Global MFU (%): 36.84 | Global TFLOPs: 2914.95 | 
2025-05-19 09:06:08,893 - root - INFO - Step: 280 | Loss: 6.64 | Tokens per second: 39176.03 | Training tokens per second (%): 4.41 | MFU (%): 36.69 | TFLOPs: 362.83 | Global batch size: 64 | Global tokens/sec: 313408.28 | Global MFU (%): 36.69 | Global TFLOPs: 2902.61 | 
2025-05-19 09:06:13,074 - root - INFO - Step: 290 | Loss: 6.45 | Tokens per second: 39203.62 | Training tokens per second (%): 4.99 | MFU (%): 36.71 | TFLOPs: 363.08 | Global batch size: 64 | Global tokens/sec: 313628.97 | Global MFU (%): 36.71 | Global TFLOPs: 2904.65 | 
