[sbatch-master] running on nid006647
[sbatch-master] SLURM_NODELIST: nid[006647,006651]
[sbatch-master] SLURM_NNODES: 2
[sbatch-master] SLURM_NODEID: 0
[Master] Master node: nid006647
[Master] World size: 8
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid006647 noderank=0 localrank=0
[srun] rank=1 host=nid006651 noderank=1 localrank=0
W0519 11:11:52.769000 166596 torch/distributed/run.py:792] 
W0519 11:11:52.769000 166596 torch/distributed/run.py:792] *****************************************
W0519 11:11:52.769000 166596 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0519 11:11:52.769000 166596 torch/distributed/run.py:792] *****************************************
W0519 11:11:53.344000 134125 torch/distributed/run.py:792] 
W0519 11:11:53.344000 134125 torch/distributed/run.py:792] *****************************************
W0519 11:11:53.344000 134125 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0519 11:11:53.344000 134125 torch/distributed/run.py:792] *****************************************
2025-05-19 11:12:05,582 - root - INFO - [Distributed Init] Rank 4 initialized on node 1 on GPU 0.
2025-05-19 11:12:05,606 - root - INFO - [Distributed Init] Rank 0 initialized on node 0 on GPU 0.
[rank4]:[W519 11:12:05.968482664 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 4]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank0]:[W519 11:12:06.333071643 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 11:12:06,153 - root - INFO - [Distributed Init] Rank 6 initialized on node 1 on GPU 2.
[rank6]:[W519 11:12:06.112985650 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 6]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 11:12:06,173 - root - INFO - [Distributed Init] Rank 7 initialized on node 1 on GPU 3.
2025-05-19 11:12:06,173 - root - INFO - [Distributed Init] Rank 3 initialized on node 0 on GPU 3.
2025-05-19 11:12:06,173 - root - INFO - [Distributed Init] Rank 2 initialized on node 0 on GPU 2.
[rank7]:[W519 11:12:06.132856185 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 7]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank2]:[W519 11:12:06.473324464 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank3]:[W519 11:12:06.473324336 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 11:12:06,182 - root - INFO - [Distributed Init] Rank 5 initialized on node 1 on GPU 1.
[rank5]:[W519 11:12:06.142009526 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 5]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 11:12:06,192 - root - INFO - [Distributed Init] Rank 1 initialized on node 0 on GPU 1.
[rank1]:[W519 11:12:06.492037767 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
2025-05-19 11:12:11,079 - root - INFO - [Rank 0] All ranks ready!
2025-05-19 11:12:11,079 - root - INFO - Distributed training enabled: 8 processes
2025-05-19 11:12:11,079 - root - INFO - Master process: 0 on cuda:0
2025-05-19 11:12:11,079 - root - INFO - Experiment args: Namespace(dataset='/capstor/scratch/cscs/kasparr/project/train_data_tokenized_token-list_snappy.parquet', dataset_type='token-list', pretokenized=True, tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=10, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, distributed=True, backend='nccl', find_unused_parameters=False)
2025-05-19 11:12:11,079 - root - INFO - Setting up Tokenizer...
2025-05-19 11:12:11,624 - root - INFO - Setting up DataLoaders...
2025-05-19 11:12:11,625 - root - INFO - Using pretokenized data: /capstor/scratch/cscs/kasparr/project/train_data_tokenized_token-list_snappy.parquet
2025-05-19 11:12:19,821 - root - INFO - Setting up Model...
2025-05-19 11:12:32,798 - root - INFO - Model wrapped with DistributedDataParallel
2025-05-19 11:12:32,799 - root - INFO - Global batch size: 64 (local: 8 × 8 processes)
2025-05-19 11:12:32,799 - root - INFO - Starting training!
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
/iopsstor/scratch/cscs/kasparr/project/src/train.py:236: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  num_items_tensor = torch.tensor(num_items_in_batch, device=device)
2025-05-19 11:12:34,539 - root - INFO - Step: 1 | Loss: 11.94 | Tokens per second: 9419.79 | Training tokens per second (%): 12.47 | MFU (%): 8.82 | TFLOPs: 87.24 | Global batch size: 64 | Global tokens/sec: 75358.36 | Global MFU (%): 8.82 | Global TFLOPs: 697.93 | 
2025-05-19 11:12:38,382 - root - INFO - Step: 10 | Loss: 11.91 | Tokens per second: 38374.95 | Training tokens per second (%): 12.47 | MFU (%): 35.94 | TFLOPs: 355.41 | Global batch size: 64 | Global tokens/sec: 306999.63 | Global MFU (%): 35.94 | Global TFLOPs: 2843.26 | 
2025-05-19 11:12:42,603 - root - INFO - Step: 20 | Loss: 11.67 | Tokens per second: 38830.68 | Training tokens per second (%): 12.47 | MFU (%): 36.36 | TFLOPs: 359.63 | Global batch size: 64 | Global tokens/sec: 310645.44 | Global MFU (%): 36.36 | Global TFLOPs: 2877.02 | 
2025-05-19 11:12:46,828 - root - INFO - Step: 30 | Loss: 11.02 | Tokens per second: 38780.03 | Training tokens per second (%): 12.47 | MFU (%): 36.32 | TFLOPs: 359.16 | Global batch size: 64 | Global tokens/sec: 310240.21 | Global MFU (%): 36.32 | Global TFLOPs: 2873.27 | 
2025-05-19 11:12:51,039 - root - INFO - Step: 40 | Loss: 9.99 | Tokens per second: 38916.16 | Training tokens per second (%): 12.47 | MFU (%): 36.44 | TFLOPs: 360.42 | Global batch size: 64 | Global tokens/sec: 311329.30 | Global MFU (%): 36.44 | Global TFLOPs: 2883.35 | 
2025-05-19 11:12:55,265 - root - INFO - Step: 50 | Loss: 9.32 | Tokens per second: 38771.25 | Training tokens per second (%): 12.47 | MFU (%): 36.31 | TFLOPs: 359.08 | Global batch size: 64 | Global tokens/sec: 310170.00 | Global MFU (%): 36.31 | Global TFLOPs: 2872.62 | 
2025-05-19 11:12:59,490 - root - INFO - Step: 60 | Loss: 8.75 | Tokens per second: 38785.83 | Training tokens per second (%): 12.47 | MFU (%): 36.32 | TFLOPs: 359.21 | Global batch size: 64 | Global tokens/sec: 310286.64 | Global MFU (%): 36.32 | Global TFLOPs: 2873.70 | 
2025-05-19 11:13:03,712 - root - INFO - Step: 70 | Loss: 8.21 | Tokens per second: 38819.22 | Training tokens per second (%): 12.47 | MFU (%): 36.35 | TFLOPs: 359.52 | Global batch size: 64 | Global tokens/sec: 310553.76 | Global MFU (%): 36.35 | Global TFLOPs: 2876.17 | 
2025-05-19 11:13:07,967 - root - INFO - Step: 80 | Loss: 7.83 | Tokens per second: 38510.87 | Training tokens per second (%): 12.47 | MFU (%): 36.06 | TFLOPs: 356.67 | Global batch size: 64 | Global tokens/sec: 308086.98 | Global MFU (%): 36.06 | Global TFLOPs: 2853.33 | 
2025-05-19 11:13:12,180 - root - INFO - Step: 90 | Loss: 7.47 | Tokens per second: 38898.18 | Training tokens per second (%): 12.47 | MFU (%): 36.43 | TFLOPs: 360.25 | Global batch size: 64 | Global tokens/sec: 311185.43 | Global MFU (%): 36.43 | Global TFLOPs: 2882.02 | 
2025-05-19 11:13:16,407 - root - INFO - Step: 100 | Loss: 7.38 | Tokens per second: 38766.42 | Training tokens per second (%): 12.47 | MFU (%): 36.30 | TFLOPs: 359.03 | Global batch size: 64 | Global tokens/sec: 310131.37 | Global MFU (%): 36.30 | Global TFLOPs: 2872.26 | 
2025-05-19 11:13:20,629 - root - INFO - Step: 110 | Loss: 7.22 | Tokens per second: 38812.74 | Training tokens per second (%): 12.47 | MFU (%): 36.35 | TFLOPs: 359.46 | Global batch size: 64 | Global tokens/sec: 310501.90 | Global MFU (%): 36.35 | Global TFLOPs: 2875.69 | 
2025-05-19 11:13:24,845 - root - INFO - Step: 120 | Loss: 7.18 | Tokens per second: 38865.91 | Training tokens per second (%): 12.47 | MFU (%): 36.40 | TFLOPs: 359.95 | Global batch size: 64 | Global tokens/sec: 310927.31 | Global MFU (%): 36.40 | Global TFLOPs: 2879.63 | 
2025-05-19 11:13:29,078 - root - INFO - Step: 130 | Loss: 7.09 | Tokens per second: 38715.87 | Training tokens per second (%): 12.47 | MFU (%): 36.26 | TFLOPs: 358.56 | Global batch size: 64 | Global tokens/sec: 309726.96 | Global MFU (%): 36.26 | Global TFLOPs: 2868.51 | 
2025-05-19 11:13:33,294 - root - INFO - Step: 140 | Loss: 7.00 | Tokens per second: 38864.53 | Training tokens per second (%): 12.47 | MFU (%): 36.39 | TFLOPs: 359.94 | Global batch size: 64 | Global tokens/sec: 310916.24 | Global MFU (%): 36.39 | Global TFLOPs: 2879.53 | 
2025-05-19 11:13:37,505 - root - INFO - Step: 150 | Loss: 6.93 | Tokens per second: 38917.40 | Training tokens per second (%): 12.47 | MFU (%): 36.44 | TFLOPs: 360.43 | Global batch size: 64 | Global tokens/sec: 311339.19 | Global MFU (%): 36.44 | Global TFLOPs: 2883.45 | 
2025-05-19 11:13:41,823 - root - INFO - Step: 160 | Loss: 6.86 | Tokens per second: 37947.12 | Training tokens per second (%): 12.47 | MFU (%): 35.54 | TFLOPs: 351.44 | Global batch size: 64 | Global tokens/sec: 303576.98 | Global MFU (%): 35.54 | Global TFLOPs: 2811.56 | 
2025-05-19 11:13:46,040 - root - INFO - Step: 170 | Loss: 6.81 | Tokens per second: 38860.87 | Training tokens per second (%): 12.47 | MFU (%): 36.39 | TFLOPs: 359.91 | Global batch size: 64 | Global tokens/sec: 310887.00 | Global MFU (%): 36.39 | Global TFLOPs: 2879.26 | 
2025-05-19 11:13:50,312 - root - INFO - Step: 180 | Loss: 6.73 | Tokens per second: 38352.32 | Training tokens per second (%): 12.47 | MFU (%): 35.91 | TFLOPs: 355.20 | Global batch size: 64 | Global tokens/sec: 306818.53 | Global MFU (%): 35.91 | Global TFLOPs: 2841.58 | 
2025-05-19 11:13:54,527 - root - INFO - Step: 190 | Loss: 6.73 | Tokens per second: 38884.03 | Training tokens per second (%): 12.47 | MFU (%): 36.41 | TFLOPs: 360.12 | Global batch size: 64 | Global tokens/sec: 311072.26 | Global MFU (%): 36.41 | Global TFLOPs: 2880.97 | 
2025-05-19 11:13:58,747 - root - INFO - Step: 200 | Loss: 6.73 | Tokens per second: 38830.87 | Training tokens per second (%): 12.47 | MFU (%): 36.36 | TFLOPs: 359.63 | Global batch size: 64 | Global tokens/sec: 310646.96 | Global MFU (%): 36.36 | Global TFLOPs: 2877.03 | 
2025-05-19 11:14:02,968 - root - INFO - Step: 210 | Loss: 6.59 | Tokens per second: 38823.73 | Training tokens per second (%): 12.46 | MFU (%): 36.36 | TFLOPs: 359.56 | Global batch size: 64 | Global tokens/sec: 310589.83 | Global MFU (%): 36.36 | Global TFLOPs: 2876.51 | 
2025-05-19 11:14:07,184 - root - INFO - Step: 220 | Loss: 6.56 | Tokens per second: 38862.46 | Training tokens per second (%): 12.47 | MFU (%): 36.39 | TFLOPs: 359.92 | Global batch size: 64 | Global tokens/sec: 310899.69 | Global MFU (%): 36.39 | Global TFLOPs: 2879.38 | 
2025-05-19 11:14:11,444 - root - INFO - Step: 230 | Loss: 6.54 | Tokens per second: 38470.61 | Training tokens per second (%): 12.47 | MFU (%): 36.03 | TFLOPs: 356.29 | Global batch size: 64 | Global tokens/sec: 307764.87 | Global MFU (%): 36.03 | Global TFLOPs: 2850.34 | 
2025-05-19 11:14:15,664 - root - INFO - Step: 240 | Loss: 6.45 | Tokens per second: 38834.25 | Training tokens per second (%): 12.47 | MFU (%): 36.37 | TFLOPs: 359.66 | Global batch size: 64 | Global tokens/sec: 310674.00 | Global MFU (%): 36.37 | Global TFLOPs: 2877.29 | 
2025-05-19 11:14:19,897 - root - INFO - Step: 250 | Loss: 6.43 | Tokens per second: 38710.23 | Training tokens per second (%): 12.47 | MFU (%): 36.25 | TFLOPs: 358.51 | Global batch size: 64 | Global tokens/sec: 309681.83 | Global MFU (%): 36.25 | Global TFLOPs: 2868.10 | 
2025-05-19 11:14:24,123 - root - INFO - Step: 260 | Loss: 6.43 | Tokens per second: 38776.55 | Training tokens per second (%): 12.47 | MFU (%): 36.31 | TFLOPs: 359.13 | Global batch size: 64 | Global tokens/sec: 310212.43 | Global MFU (%): 36.31 | Global TFLOPs: 2873.01 | 
2025-05-19 11:14:28,338 - root - INFO - Step: 270 | Loss: 6.37 | Tokens per second: 38873.54 | Training tokens per second (%): 12.47 | MFU (%): 36.40 | TFLOPs: 360.02 | Global batch size: 64 | Global tokens/sec: 310988.36 | Global MFU (%): 36.40 | Global TFLOPs: 2880.20 | 
2025-05-19 11:14:32,577 - root - INFO - Step: 280 | Loss: 6.41 | Tokens per second: 38658.16 | Training tokens per second (%): 12.47 | MFU (%): 36.20 | TFLOPs: 358.03 | Global batch size: 64 | Global tokens/sec: 309265.29 | Global MFU (%): 36.20 | Global TFLOPs: 2864.24 | 
